Index,Average Preprocessing Latency (ms),Average Inference Latency (ms),Average Postprocessing Latency (ms),Average Total Latency (ms)
1,11.866666666666665,308.90000000000003,9.333333333333334,330.09999999999997
2,2.3000000000000003,330.1666666666667,1.6666666666666667,334.13333333333327
3,3.3333333333333335,327.09999999999997,1.2666666666666666,331.7
4,2.5,323.40000000000003,1.4000000000000001,327.3
5,2.6333333333333333,469.1333333333334,1.8,473.56666666666666
6,16.4,547.9333333333334,3.266666666666667,567.6
7,3.8333333333333335,461.3666666666666,1.5,466.7
8,3.2000000000000006,527.1666666666666,1.6333333333333335,532.0
9,3.466666666666667,516.0666666666667,3.133333333333333,522.6666666666666
10,3.3333333333333335,468.0,1.3666666666666665,472.7
11,4.566666666666666,600.9666666666666,1.9666666666666668,607.5
12,4.3,535.1666666666666,1.7666666666666666,541.2333333333332
13,3.733333333333333,537.3000000000001,2.2666666666666666,543.3000000000001
14,4.533333333333333,683.7000000000002,6.366666666666667,694.6
15,3.9,719.8333333333334,2.1,725.8333333333334
16,3.466666666666667,563.5,2.566666666666667,569.5333333333333
17,6.333333333333333,679.2666666666667,3.6666666666666665,689.2666666666665
18,6.066666666666666,569.0333333333333,2.2333333333333334,577.3333333333334
19,3.233333333333333,753.8666666666668,2.4,759.5
20,4.8,799.8333333333334,2.9,807.5333333333333
21,3.9,862.6999999999999,2.433333333333333,869.0333333333333
22,4.6000000000000005,807.5333333333333,15.933333333333332,828.0666666666666
23,4.5,966.2333333333332,3.4333333333333336,974.1666666666666
24,3.9333333333333336,824.4666666666667,7.133333333333333,835.5333333333334
25,113.36666666666666,921.0666666666666,5.066666666666666,1039.5
26,5.733333333333333,560.0666666666666,1.7666666666666666,567.5666666666667
27,3.3333333333333335,573.3333333333334,3.3333333333333335,580.0
28,3.2999999999999994,586.3,2.6333333333333333,592.2333333333332
29,3.8000000000000003,713.6333333333333,2.1666666666666665,719.6
30,3.5333333333333337,680.5666666666667,2.766666666666667,686.8666666666668
31,3.533333333333333,633.9333333333333,1.7,639.1666666666666
32,3.8666666666666667,672.2666666666667,2.1333333333333333,678.2666666666667
33,4.2,649.4,2.233333333333333,655.8333333333333
34,5.6000000000000005,611.2666666666668,1.9666666666666668,618.8333333333334
35,3.1,585.3666666666667,1.6666666666666667,590.1333333333333
36,3.9333333333333336,534.0,2.5,540.4333333333334
37,3.5666666666666664,585.9333333333333,2.0333333333333337,591.5333333333334
38,8.233333333333333,861.6333333333333,1.6666666666666667,871.5333333333333
39,4.633333333333333,949.9,2.3666666666666667,956.9
40,13.366666666666667,1040.0,7.966666666666666,1061.3333333333333
41,3.9333333333333336,666.3333333333334,2.6,672.8666666666667
42,4.066666666666666,566.3666666666667,1.8333333333333333,572.2666666666667
43,4.2,609.7,1.9666666666666668,615.8666666666667
44,5.666666666666667,582.5666666666666,2.3000000000000003,590.5333333333333
45,3.8000000000000003,613.6333333333333,2.6,620.0333333333334
46,4.066666666666666,612.1,1.7666666666666666,617.9333333333334
47,4.2,816.4,3.633333333333333,824.2333333333332
48,6.533333333333334,603.2666666666668,2.0666666666666664,611.8666666666667
49,3.266666666666667,942.5666666666666,10.833333333333334,956.6666666666666
50,4.166666666666667,814.7333333333332,5.466666666666666,824.3666666666667
51,6.3,658.5666666666666,2.2333333333333334,667.1
52,3.8000000000000003,610.3333333333334,2.8666666666666667,617.0000000000001
53,3.4,775.0,2.5,780.9
54,11.166666666666666,577.4,7.6000000000000005,596.1666666666666
55,3.966666666666667,568.5,1.7666666666666666,574.2333333333333
56,3.6,637.1,2.1666666666666665,642.8666666666667
57,3.7000000000000006,611.4,2.8666666666666667,617.9666666666667
58,3.633333333333333,562.0,2.0,567.6333333333333
59,3.033333333333333,550.1999999999999,1.8,555.0333333333333
60,3.533333333333333,606.6,2.0,612.1333333333333
61,3.266666666666667,596.2666666666668,4.633333333333334,604.1666666666666
62,3.6333333333333333,605.5333333333334,1.9333333333333333,611.1
63,3.766666666666667,596.6999999999999,2.2666666666666666,602.7333333333332
64,4.966666666666666,579.1333333333333,2.2666666666666666,586.3666666666667
65,3.5,575.5,1.9333333333333336,580.9333333333333
66,3.4333333333333336,555.2666666666667,2.033333333333333,560.7333333333332
67,5.333333333333333,633.1999999999999,2.6666666666666665,641.1999999999999
68,4.8999999999999995,622.3000000000001,3.3333333333333335,630.5333333333333
69,4.7,716.1999999999999,3.266666666666667,724.1666666666666
70,3.266666666666667,703.3333333333334,6.166666666666667,712.7666666666668
71,4.6000000000000005,675.1999999999999,2.5,682.3000000000001
72,3.5666666666666664,716.2999999999998,4.2,724.0666666666666
73,7.466666666666666,678.1666666666666,2.566666666666667,688.1999999999999
74,5.333333333333333,690.2999999999998,3.3333333333333335,698.9666666666666
75,3.266666666666667,633.1666666666666,8.5,644.9333333333334
76,3.6333333333333333,911.2666666666668,4.333333333333333,919.2333333333332
77,3.5666666666666664,653.5,1.6666666666666667,658.7333333333332
78,3.9,682.5333333333333,4.266666666666667,690.6999999999999
79,5.5,650.3333333333334,2.4,658.2333333333333
80,3.6333333333333333,633.7,13.300000000000002,650.6333333333333
81,3.4,603.9,2.3666666666666667,609.6666666666666
82,3.4,548.7666666666668,1.6666666666666667,553.8333333333334
83,3.6666666666666665,607.0,2.3000000000000003,612.9666666666667
84,3.7000000000000006,599.4666666666667,1.8,604.9666666666667
85,3.4,642.4,10.533333333333333,656.3333333333334
86,2.8666666666666667,648.6999999999999,3.233333333333333,654.8
87,3.766666666666667,570.9,2.8666666666666667,577.5333333333333
